Year,ZIP code,Age Group,Number of Visits,Age-adjusted rate,County Fips code,County
2009,"91106
(34.140985, -118.127306)",Children (0-17),12,27.22123308,6037,LOS ANGELES
2009,"90277
(33.829778, -118.383577)",Children (0-17),21,38.44370766,6037,LOS ANGELES
2009,"90027
(34.121686, -118.29056)",Children (0-17),42,47.47291775,6037,LOS ANGELES
2012,"92129
(32.962515, -117.12656)",Children (0-17),49,38.6,6073,SAN DIEGO
2012,"91748
(33.983714, -117.89905)",Children (0-17),46,53.4,6037,LOS ANGELES
2012,"90606
(33.977359, -118.067358)",Children (0-17),86,99.9,6037,LOS ANGELES
2009,"95928
(39.722336, -121.797085)",All Ages,118,36.24517209,6007,BUTTE
2009,"90704
(33.383922, -118.42336)",Children (0-17),,,6037,LOS ANGELES
2009,"90403
(34.030608, -118.490564)",Children (0-17),13,48.84568859,6037,LOS ANGELES
2013,"95959
(39.316417, -120.953153)",All Ages,40,25.6,6057,NEVADA
2009,"95987
(39.12347, -122.241266)",All Ages,22,39.71436217,6011,COLUSA
